movieId,totalSeats,availableSeats,screenName,language,movieFormat,subtitle,screenType,filmFormat,theatreId,experienceKey,startTime,endTime
30667,40,29,SCREEN 13,English,,True,INSIGNIA,,309,insignia,2025-07-07T06:40:00,2025-07-07T09:52:00
30667,40,32,SCREEN 13,English,,True,INSIGNIA,,309,insignia,2025-07-07T12:45:00,2025-07-07T15:57:00
30667,37,37,SCREEN 14,English,,True,INSIGNIA,,309,insignia,2025-07-07T17:00:00,2025-07-07T20:12:00
30667,170,169,SCREEN 3,English,,True,LASER,,309,laser,2025-07-07T16:15:00,2025-07-07T19:27:00
30667,204,185,SCREEN 1,English,ATMOS,True,LASER,,309,laser,2025-07-07T04:00:00,2025-07-07T07:12:00
30667,170,127,SCREEN 2,English,ATMOS,True,LASER,,309,laser,2025-07-07T06:50:00,2025-07-07T10:02:00
30667,170,134,SCREEN 2,English,ATMOS,True,LASER,,309,laser,2025-07-07T13:30:00,2025-07-07T16:42:00
30667,170,70,SCREEN 7,English,SCREEN X,True,SCREEN X,,309,screen-x,2025-07-07T10:55:00,2025-07-07T14:07:00
30667,170,102,SCREEN 7,English,SCREEN X,True,SCREEN X,,309,screen-x,2025-07-07T17:00:00,2025-07-07T20:12:00
28583,145,125,SCREEN 5,Hindi,,False,,,24,,2025-07-07T10:05:00,2025-07-07T13:23:00
28583,43,35,INSIGNIA 3,Hindi,,False,INSIGNIA,,24,insignia,2025-07-07T16:55:00,2025-07-07T20:13:00
28583,178,164,AUDI 06,Hindi,,True,,,390,,2025-07-07T10:25:00,2025-07-07T13:43:00
28583,152,72,AUDI 04,Hindi,,True,,,390,,2025-07-07T13:40:00,2025-07-07T16:56:00
28583,178,145,AUDI 06,Hindi,,True,,,390,,2025-07-07T16:40:00,2025-07-07T19:58:00
28583,24,13,AUDI 09,Hindi,,True,GOLD,,390,gold,2025-07-07T04:40:00,2025-07-07T07:58:00
28583,52,39,AUDI 02,Hindi,,True,GOLD,,390,gold,2025-07-07T06:55:00,2025-07-07T10:13:00
