movieId,theatreId,totalSeats,availableSeats,screenName,language,startTime,endTime,format,availability
172677,1039879,635,88,Kamkaya,,2025-08-16T08:15:00,2025-08-16T09:00:00,2D,88
172677,1039879,635,106,Kamkaya,,2025-08-16T16:45:00,2025-08-16T17:30:00,2D,106
172677,54957,544,94,Vinayaka cinemas,,2025-08-16T16:45:00,2025-08-16T15:45:00,2D,94
172677,54957,544,90,Vinayaka cinemas,,2025-08-16T13:30:00,2025-08-16T12:30:00,2D,90
172677,54957,544,89,Vinayaka cinemas,,2025-08-16T04:30:00,2025-08-16T03:30:00,2D,89
172677,54957,544,82,Vinayaka cinemas,,2025-08-16T07:30:00,2025-08-16T06:30:00,2D,82
172677,9487,329,257,Screen 1,,2025-08-16T10:30:00,2025-08-16T10:30:00,2D,257
172677,9487,329,283,Screen 1,,2025-08-16T17:00:00,2025-08-16T17:00:00,2D,283
172677,9487,329,286,Screen 1,,2025-08-16T04:00:00,2025-08-16T04:00:00,2D,286
172677,9487,329,252,Screen 1,,2025-08-16T13:45:00,2025-08-16T13:45:00,2D,252
172677,52080,227,225,SCREEN 6,,2025-08-16T09:20:00,2025-08-16T10:05:00,2D,225
172677,52080,227,213,SCREEN 6,,2025-08-16T12:40:00,2025-08-16T13:25:00,2D,213
172677,52080,227,202,SCREEN 6,,2025-08-16T16:00:00,2025-08-16T16:45:00,2D,202
172677,52080,227,227,SCREEN 6,,2025-08-16T02:45:00,2025-08-16T03:30:00,2D,227
172677,52080,227,224,SCREEN 6,,2025-08-16T06:00:00,2025-08-16T06:45:00,2D,224
172677,52080,227,227,SCREEN 4,,2025-08-16T07:00:00,2025-08-16T07:45:00,2D,227
172677,52080,227,198,SCREEN 4,,2025-08-16T10:20:00,2025-08-16T11:05:00,2D,198
172677,52080,227,220,SCREEN 4,,2025-08-16T13:40:00,2025-08-16T14:25:00,2D,220
172677,52080,227,220,SCREEN 4,,2025-08-16T17:00:00,2025-08-16T17:45:00,2D,220
172677,52080,227,223,SCREEN 4,,2025-08-16T03:30:00,2025-08-16T04:15:00,2D,223
172677,1039871,581,53,Sri Vajreshwari,,2025-08-16T08:00:00,2025-08-16T08:45:00,2D,53
172677,1039871,581,53,Sri Vajreshwari,,2025-08-16T16:30:00,2025-08-16T17:15:00,2D,53
172677,115,244,211,AUDI 01,,2025-08-16T01:30:00,2025-08-16T01:30:00,2D,211
172677,115,244,111,AUDI 01,,2025-08-16T05:05:00,2025-08-16T05:05:00,2D,111
172677,115,244,110,AUDI 01,,2025-08-16T08:40:00,2025-08-16T08:40:00,2D,110
172677,115,244,119,AUDI 01,,2025-08-16T12:15:00,2025-08-16T12:15:00,2D,119
172677,115,244,127,AUDI 01,,2025-08-16T15:50:00,2025-08-16T15:50:00,2D,127
172677,115,158,116,AUDI 07,,2025-08-16T02:40:00,2025-08-16T02:40:00,2D,116
172677,115,158,77,AUDI 07,,2025-08-16T06:15:00,2025-08-16T06:15:00,2D,77
172677,115,158,64,AUDI 07,,2025-08-16T09:50:00,2025-08-16T09:50:00,2D,64
172677,115,158,62,AUDI 07,,2025-08-16T13:25:00,2025-08-16T13:25:00,2D,62
172677,115,158,93,AUDI 07,,2025-08-16T17:00:00,2025-08-16T17:00:00,2D,93
172677,115,99,65,AUDI 02,,2025-08-16T06:55:00,2025-08-16T06:55:00,2D,65
172677,115,116,40,AUDI 03,,2025-08-16T12:55:00,2025-08-16T12:55:00,2D,40
172677,7508,137,127,AUDI04,,2025-08-16T02:00:00,2025-08-16T02:00:00,2D,127
172677,7508,163,122,AUDI08,,2025-08-16T17:00:00,2025-08-16T17:00:00,2D,122
172677,7508,163,97,AUDI08,,2025-08-16T13:20:00,2025-08-16T13:20:00,2D,97
172677,7508,163,152,AUDI08,,2025-08-16T02:35:00,2025-08-16T02:35:00,2D,152
172677,7508,163,99,AUDI08,,2025-08-16T09:45:00,2025-08-16T09:45:00,2D,99
172677,7508,163,117,AUDI08,,2025-08-16T06:10:00,2025-08-16T06:10:00,2D,117
172677,7508,134,63,AUDI09,,2025-08-16T10:10:00,2025-08-16T10:10:00,2D,63
172677,7508,134,89,AUDI09,,2025-08-16T06:35:00,2025-08-16T06:35:00,2D,89
