theatreId,name,cityName,address,latitude,longitude
1039754,"Movietime Cinemas YGR Signature Mall, RR Nagar, Bengaluru",,"Movietime Cinemas Pvt Ltd, 3rd Floor, YGR Signature Mall, Kenchena Halli Road, RR Nagar, Bengaluru, Karnataka 560098, India",12.909679,77.513102
1022308,"PVR Aura Park Square, Whitefield, Bengaluru",,"Ascendas Park Square Mall, ITP, Whitefield Rd, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066, India",12.98749,77.736649
1026890,"Murali Cinemas (Gokula) 4K Dolby 7.1, Mathikere, Bengaluru",,"13, 19th Cross Road, Bandappa Garden, Mathikere, Bangalore, Karnataka 560054, India",13.0384,77.5525
1020726,"INOX Central Mantri Junction, JP Nagar, Bengaluru",,"5th Floor Central, 45th Cross, J P Nagar 2nd Phase, Marenhalli Road, Bengaluru, Karnataka 560069, India",12.91646,77.592363
1011878,"Gowrishankar Dolby 7.1 RGB Laser Attibele, Next To Ganesh Temple, Bengaluru",,"Hosur Main Road, Next To Ganesh Temple, Attibele, Bangalore, Karnataka, 562107, India",12.779043,77.773461
47385,"Bhoomika Theatre 2K, Majestic, Bengaluru",,"23, KG Road, Gandhinagar, Bangalore, Karnataka 560009, India",12.974159,77.579838
4481,"Santosh Theatre, Gandhinagar, Bengaluru",,"K.G.Road, Majestic Circle, Next To Alankar Plaza,Bangalore,Karnataka,560009",12.97488,77.576372
1403,"Akash Cinemas, Laggere, Bengaluru",,"Bldg No 135/3, Rajeshwari Theatre Road, Laggere, Near Friends Circle, Bengaluru, Karnataka 560058, India",13.014977,77.516191
56451,"Cinepolis VIP Lulu Global Mall, Rajajinagar, Bengaluru",,"3rd Floor, Lulu Global Mall, Rajajinagar, Bengaluru, Karnataka 560023, India",12.982083,77.563691
1020723,"INOX Shree Garuda Swagath Mall, Jayanagar, Bengaluru",,"4th Floor, Shree Garuda Swagath Mall, Tilak Nagar Main Road, Jayanagar, Bengaluru, Karnataka 560041, India",12.929029,77.591298
9710,"Galaxy Paradise,12th Cross Bommanahalli Post, Hongasandra",,"12th Cross, Bommanahalli Post, Begur Main Road, Hongasandra, Bengaluru, Karnataka 560068, India",12.891064,77.62643
1011225,"Srinivasa Theatre AC 4K Dolby Atmos, Kadugodi, Bengaluru",,"Sri Sai Layout, Kadugodi, Bangalore, Karnataka, 560067, India",12.988538,77.7662
43628,"Sri Vinayaka 4K A/C Dolby Atmos, Marathahalli, Bengaluru",,"93/3,  Munnekollal, Marathahalli, Bangalore, Karnataka 560037, India",12.956685,77.69938
1025661,"Balaji Theatre, Tavarekere (Next To Lakshmi Theatre), Bengaluru",,"Balaji Nagar, Tavarekere Main Road, Next To Lakshmi Theatre, Bengaluru, Karnataka 560029, India",12.925542,77.607976
55667,"Siddalingeshwara A/C 4K 3D, JP Nagar, Bengaluru",,"Ramaiah Garden, Mg Layout, Jp Nagar 6Th Phase, Bangalore,Karnataka 560078, India",12.904055,77.581412
54957,"Vinayaka Cinemas 4K Dolby 11.5 A/C, Harinagar, Bengaluru",,"179,Deepthi Nagar, 8Th Phase, J. P. Nagar, Kothnur, Bangalore, Karnataka 560062, India",12.875095,77.569918
47384,"Abhinay Theatre 2K Cinema, Gandhinagar, Bangalore",,"3, BVK Iyengar Road, Gandhinagar, Bangalore, Karnataka 560009, India",12.973848,77.577677
4196,"Sri Vinayaka Cinemas A/C DTS 4K, Varthur, Bengaluru",,"Near Whitefield, Varthur Main Road, State Highway 35, Varthur, Bangalore, Karnataka 560037, India",12.935723,77.744434
579,"Goverdhan Theatre, Near Yeshwantpur Railway Station, Bengaluru",,"46/2, Tumkur Road, Near Yeshwantpur Railway Station, Yeshwanthpur, Bengaluru, Karnataka 560022, India",13.021647,77.551259
1013537,"Sharada Cinemas A/C, S.P Road, Bengaluru",,"No 7, Otc Main Road, Nagarthpet Cross, S P Road, Near Town Hall, Bengaluru, Bangalore, Karnataka 560002, India",12.965363,77.585098
134,"Fun Cinema Sigma Mall, Vasantha Nagar, Bengaluru",,"Grand Sigma Mall, Cunningham Road, Vasantha Nagar, Bengaluru, Karnataka 560052, India",12.98826,77.59479
4080,"Vullas Theatre - 4K Dolby, Yeshwantpur, Bengaluru",,"Marappanapalya, Near HP Petrol Pump, Yeshwantpur, Bengaluru, Karnataka 560022, India",13.01994,77.551474
4246,"Ashoka Cinemas Dolby Laser Projector, Chikkabanavara, Bengaluru",,"23, Chikkabanavara, Hesarghatta Main Rd, Near Chikkabanavara Circle, Bengaluru, Karnataka 560090, India",13.080823,77.501056
4522,"Soundarya Mahal A/C 4K Dolby Atmos, Doddaballapur, Bengaluru",,"Doddaballapur,Bangalore,Karnataka,561203",13.294058,77.540391
11934,"Sri Srinivasa Theatre A/C 4K Dolby Atmos, Padmanabhanagar, Bengaluru",,"No:31/1, Gowdanpalya,Subramanyapura Road, Near by Prathana School, Padmanabhanagar, Bengaluru, Bangalore, Karnataka 560061, India",12.908977,77.558043
32228,"VR Cinemas 2K A/C 7.1 Dolby Atmos, Mallathalli, Bengaluru",,"No-34/4, 80 Feet Outer Ring Road, Near Gnanabharathi And Bangalore University Campus, Bangalore, Karnataka 560056, India",12.95734,77.502113
58109,"Prithvi Theatre, Nagavara, Bengaluru",,"Ibm Service Road, Near Manyata Tech Park, Out, Bangalore, Karnataka 560032, India",13.041806,77.622779
1039871,"Sri Vajreshwari Cinemas AC 4K Dolby Atmos, Ullal, Bengaluru",,"Ullalu Main Road, Near Bangalore University Quarters, Ullalu Upanagara Post, Opp Ullalu Bus Stop, Bengaluru, Karnataka 560056, India",12.956062,77.479792
1039872,"Vaibhav Digital 4K Dolby 7.1, SanjayNagar, Bengaluru",,"No. 68/5, Near Police Station, RMV Extension, 2nd Stage, Sanjay Nagar, Bangalure, Karnataka 560094, India",13.035724,77.574795
1039873,"Vaibhav Cinemas A/C 4K 7.1 Dolby, Doddaballapura, Bengaluru",,"Gandhi Nagar Sub Road, D Cross Road, Doddaballapura, Karnataka 561203, India",13.290783,77.54395
1039879,"Kamakhya 4K Dolby Atmos 3D A/C Cinema, Banashankari, Bengaluru",,"No.43/2, 1st Cross, 5th Block, 100 feet Road, Katriguppe, Banashankari 3rd Stage, Near Union Bank Of India ATM, Bengaluru, Karnataka 560085, India",12.923781,77.553393
1039881,"Aruna Theatre A/C 4K 7.1 Dolby 3D, Srirampuram, Bengaluru",,"No. 98, Nagendra Gardens, Ramachandrapura, Srirampuram, Near R.R.R.Kalyana Mantapa, Bangalore, Karnataka 560021, India",12.986887,77.567215
